byType,,
type,count,total
Withdrawal Request,95,152431.00
Electronic Deposit,132,141084.15
net,-11347

nc,,
country,count,total
Iraq,Withdrawal Request,8049.00
Syria,3,7901.00
Algeria,2,1012.00
Yemen,1,49.00
SaudiArabia,1,99.00
Jordan,1,100.00
all,20,17210

na,,
country,count,total
Yemen,3,205.00
Iraq,19,10170.00
Algeria,4,2335.00
Syria,10,24102.00
SaudiArabia,1,99.00
Lebanon,1,50.00
Jordan,1,100.00
all,39,37061

withdrawalByPlatform,,
platform,total
MT5,549162.00
,141084.15
cTrader,145.00

depositByPlatform,,
platform,total
,152431.00
MT5,525097.08
cTrader,145.00
Merchant,12718.07

ByMethod,,
type,method,count,total
Withdrawal Request,USDT,95,152431.00
Electronic Deposit,Coins Buy,128,132862.15
Electronic Deposit,Payeer,3,8122.00
Electronic Deposit,Master Card,1,100.00

ByWithdrawalType,,
withdrawal_type,count,total
Trading profits,39,32885.00
,132,141084.15
Total capital,28,82017.00
Bonus profits,Electronic Deposit,1054.00
Agency profits,2,205.00
Part of the capital,Electronic Deposit,36270.00

ByFromGroup,,
from_account_group,count,total
B5 - MT5,174,126420.00
Wallet,254,250622.00
P2P,177,52270.00
,132,141084.15
B5W - MT5,28,39920.00
B1 - MT5,Electronic Deposit,1054.00
B5 2,32,65169.00
Zero Standard,Withdrawal Request,1392.00
Zero Standard 2,5,2193.00
B5W - cTrader,2,145.00
IB,9,746.00
Copy,2,333.00
B5 3,2,9043.00
all,710,549307

ByToGroup,,
to_account_group,count,total
,95,152431.00
Wallet,224,234141.08
B5 - MT5,295,105354.00
B5 2,81,115343.00
Zero Standard 2,Funds transfer,2872.00
P2P,82,49919.00
B5W - MT5,28,14542.00
B5W - cTrader,2,145.00
Zero Standard,Funds transfer,1714.00
Merchant,4,12718.07
Copy,2,562.00
B4 - MT5,1,650.00
all,747,537960.15
